Classification,Position
0000,ทหาร
1110,ผู้บัญญัติกฎหมาย
1110,สมาชิกสภาผู้แทนราษฎร
1110,สมาชิกวุฒิสภา
1110,รัฐมนตรี
1110,สมาชิกสภาท้องถิ่น
1110,ผู้บริหารท้องถิ่น
1110,ผู้บัญญัติกฎหมายอื่นๆ
1120,ข้าราชการระดับอาวุโส
1120,ข้าราชการ
1120,นักบริหารของหน่วยงานรัฐบาล
1120,ข้าราชการระดับบริหาร
1120,ผู้บริหารรัฐวิสาหกิจ
1120,ผู้บริหารองค์การมหาชน
1120,นักบริหารหน่วยงานของรัฐอื่นๆ
1130,เจ้าหน้าที่บริหารงานท้องถิ่น
1130,ผู้นำท้องถิ่น
1130,ผู้นำชุมชน
1130,ผู้นำตามประเพณี
1130,กำนัน
1130,สารวัตรกำนัน
1130,ผู้ใหญ่บ้าน
1130,ผู้ช่วยผู้ใหญ่บ้าน
1130,แพทย์ประจำตำบล
1130,ผู้นำท้องถิ่น/ชุมชนอื่น ๆ
1141,เจ้าหน้าที่ระดับอาวุโสขององค์กรที่ดำเนินการเพื่อผลประโยชน์เฉพาะ
1141,เจ้าหน้าที่บริหารพรรคการเมือง
1141,กรรมการบริหารพรรค
1141,ผู้บริหารพรรค
1141,หัวหน้าพรรค
1141,เลขาธิการพรรค
1141,เหรัญญิกพรรค
1141,โฆษกพรรค
1141,เจ้าหน้าที่พรรคการเมือง
1141,เจ้าหน้าที่บริหารขององค์กรพรรคการเมือง
1142,ผู้บริหารองค์กรนายจ้าง องค์กรลูกจ้างและองค์กรที่มีผลประโยชน์ เชิงเศรษฐกิจอื่น
1143,ผู้บริหารองค์กรด้านมนุษยธรรมและองค์กรเฉพาะด้าน
1144,ผู้บริหารองค์กรที่ทำหน้าที่ตรวจสอบตามรัฐธรรมนูญ
1144,ผู้ตรวจการแผ่นดิน
1144,ผู้ตรวจการแผ่นดินของรัฐสภา
1144,กรรมการการเลือกตั้ง
1144,กรรมการสิทธิมนุษยชน
1144,กรรมการตรวจเงินแผ่นดิน
1144,กรรมการป้องกันและปราบปรามการทุจริตแห่งชาติ
1150,เจ้าหน้าที่ของหน่วยงานรัฐบาล
1150,เจ้าหน้าที่ของรัฐ
1150,เจ้าหน้าที่รัฐ
1210,กรรมการและผู้บริหารระดับสูง
1210,กรรมการผู้จัดการใหญ่
1210,กรรมการบริหาร
1210,ประธานกรรมการ
1210,ผู้บริหารระดับสูงของหน่วยงานเอกชน
1210,ผู้บริหารการศึกษา
1210,ผู้บริหารด้านเทคโนโลยีสารสนเทศระดับสูง
1221,ผู้จัดการฝ่ายผลิตและฝ่ายปฏิบัติการ (แยกตามการจัดประเภทมาตรฐานอุตสาหกรรม ISIC) (รวมเอกชน รัฐวิสาหกิจ หน่วยราชการ)
1221,ผู้จัดการฝ่ายผลิตและปฏิบัติการด้านเกษตรกรรม การล่าสัตว์ การป่าไม้ และการประมง
1221,ผู้จัดการฝ่ายการเพาะปลูก
1221,ผู้จัดการฝ่ายการเลี้ยงปศุสัตว์
1221,ผู้จัดการฝ่ายการป่าไม้
1221,ผู้จัดการฝ่ายการเพาะเลี้ยงสัตว์นํ้า
1222,"ผู้จัดการฝ่ายผลิตและปฏิบัติการด้านการผลิต (ประเภท C ,D, E)"
1222,ผู้จัดการฝ่ายผลิตและปฏิบัติการด้านการผลิต (อุตสาหกรรมการผลิตต่าง ๆ เหมืองแร่ ไฟฟ้า ก๊าซ และประปา)
1223,ผู้จัดการฝ่ายผลิตและปฏิบัติการด้านการก่อสร้าง (ประเภท F)
1223,ผู้จัดการฝ่ายก่อสร้าง
1223,ผู้จัดการก่อสร้าง
1224,ผู้จัดการฝ่ายผลิตและปฏิบัติการด้านการค้าส่งและค้าปลีก (Production and
1224,ผู้จัดการฝ่ายค้าส่ง
