Position,Classification
ผู้ปฏิบัติงานอาชีพในหมวดนี้ ได้แก่ ผู้ที่ทำหน้าที่รับใช้ชาติในกองทัพต่าง ๆ ทั้งนี้รวมถึงทหารอาสาสมัคร ทหารเกณฑ์ และทหารประจำการ,0
ผู้ปฏิบัติงานอาชีพในหมวดใหญ่นี้ ได้แก่ ผู้บัญญัติกฎหมาย นักบริหารของหน่วยงาน รัฐบาลและผู้จัดการของวิสาหกิจและองค์การต่าง ๆ ซึ่งทำหน้าที่ พิจารณา ตัดสินใจ กำหนดวิธีการ กำกับดูแล หรือแนะนำเกี่ยวกับนโยบายของรัฐบาลในระดับต่าง ๆ หรือนโยบายขององค์กร บัญญัติกฎหมาย กฎและระเบียบสาธารณชนต่าง ๆ เป็นตัวแทนของรัฐบาลหรือปฏิบัติงานแทนในนามของ รัฐบาลรวมถึงพรรคการเมือง สหภาพ วิสาหกิจและองค์กรต่าง ๆ,1000
ผู้ปฏิบัติงานอาชีพในหมวดย่อยนี้ ได้แก่ ผู้พิจารณากำหนดวิธีการ ให้คำแนะนำหรือ เข้าร่วมในการวางนโยบายของรัฐบาล สั่งการและกำกับดูแลให้ปฏิบัติตามนโยบายหรือกฎระเบียบ ข้อบังคับที่เกี่ยวกับการบริหารประเทศในระดับภูมิภาคหรือท้องถิ่น ร่างและตรากฎหมายหรือเปลี่ยนแปลงยกเลิกระเบียบสาธารณะต่างๆ ภายใต้รัฐธรรมนูญ อาจเป็นผู้ที่ได้รับการเลือกตั้งหรือแต่งตั้งให้ทำงานในฝ่ายปกครองส่วนกลาง หรือฝ่ายปกครองท้องถิ่นในคณะรัฐบาล ในหน่วยงานของกระทรวง ทบวง กรม เป็นตัวแทนหรือปฏิบัติงานในนามของส่วนราชการ รวมถึงองค์กรที่ดำเนินการเพื่อ ผลประโยชน์เฉพาะอย่าง รวมทั้งควบคุมดูแลผู้ปฏิบัติงานอื่น ๆ,1100
ผู้ปฏิบัติงานอาชีพในหมู่นี้ ได้แก่ ผู้ที่ทำหน้าที่กำกับดูแลหรือมีส่วนร่วมในการดำเนินการร่างกฎหมาย ระเบียบ และข้อบังคับต่าง ๆ กำหนดวิธีการเพื่อกำกับดูแลการบริหารงานของราชการให้ดำเนินไปตามนโยบาย แก้ไขเปลี่ยนแปลงเพื่อยกเลิกกฎหมาย กฎระเบียบ ข้อบังคับต่างๆ ภายใต้รัฐธรรมนูญ ให้คำปรึกษาแนะนำการบริหารงานของรัฐบาลหรือหน่วยงานของรัฐ ส่งเสริมการปกครองแบบประชาธิปไตย และคอยกำกับดูแลผู้บริหารของรัฐและเจ้าหน้าที่ของรัฐบาลให้ปฎิบัติงานลุล่วงตามนโยบายที่กำหนดไว้ ปฏิบัติงานที่เกี่ยวข้องและควบคุมดูแลผู้ปฏิบัติงานอื่น ๆ,1110
ผู้ปฏิบัติงานอาชีพในหน่วยนี้ ได้แก่ ผู้ทำหน้าที่ในการดำเนินการออกกฎหมาย กฎ ระเบียบ ข้อบังคับ ประกาศต่าง ๆ ขึ้นใช้บังคับ แก้ไข เปลี่ยนแปลง ยกเลิกกฎหมาย กฎ ระเบียบ ข้อบังคับ ประกาศต่างๆ ที่มีอยู่แล้วภายใต้รัฐธรรมนูญ วางนโยบายทิศทางการบริหารราชการแผ่นดิน กำหนดหลักเกณฑ์และวิธีการเพื่อกำกับดูแลการบริหารราชการให้ดำเนินไปตามนโยบาย ให้คำปรึกษาแนะนำการบริหารงานของรัฐบาลหรือหน่วยงานของรัฐ กำกับดูแลผู้บริหารและเจ้าหน้าที่ของรัฐบาลให้ปฏิบัติงานลุล่วงตามนโยบายที่กำหนดไว้ ดูแลการบังคับใช้กฎหมายและการจัดองค์กรให้เป็นไปโดยเรียบร้อยตามเป้าหมาย ปฏิบัติหน้าที่การงานที่เกี่ยวข้องและควบคุมดูแลผู้ปฏิบัติงานอื่นๆ,1110
เป็นผู้แทนปวงชนชาวไทยในการใช้อำนาจนิติบัญญัติ จัดทำ แก้ไข เปลี่ยนแปลง ยกเลิก พระราชบัญญัติ และแก้ไขเพิ่มเติมรัฐธรรมนูญ ให้คำแนะนำและยินยอมในการตราพระราชบัญญัติเพื่อใช้บังคับเป็นกฎหมาย ควบคุมการบริหารราชการแผ่นดินของฝ่ายบริหารให้ดำเนินการตามบทบัญญัติแห่งรัฐธรรมนูญ และทำหน้าที่อื่นตามที่บัญญัติไว้ในกฎหมาย,1110
เป็นผู้แทนปวงชนชาวไทยในการใช้อำนาจนิติบัญญัติ กลั่นกรองกฎหมายโดยพิจารณาให้ความเห็นชอบ หรือแก้ไขเพิ่มเติมร่างพระราชบัญญัติ ที่สมาชิกสภาผู้แทนราษฎรเสนอต่อวุฒิสภา พิจารณาเลือก แต่งตั้ง ถอดถอน ให้คำแนะนำ หรือให้ความเห็นชอบให้บุคคลดำรงตำแหน่งตาม รัฐธรรมนูญ ควบคุมการบริหารราชการแผ่นดินและทำหน้าที่อื่นตามที่บัญญัติไว้ในกฎหมาย,1110
บริหารราชการแผ่นดินให้เป็นไปตามบทบัญญัติแห่งรัฐธรรมนูญ กฎหมาย และนโยบายของรัฐบาลที่ได้แถลงไว้ต่อรัฐสภา รวมทั้งเสนอแนะเพื่อการตราพระราชกำหนดและพระราชกฤษฎีกา การออกกฎกระทรวง ประกาศกระทรวงและระเบียบต่างๆ กำหนดนโยบายของกระทรวง ทบวง ให้ สอดคล้องกับนโยบายของรัฐบาล ปกครอง บังคับบัญชาข้าราชการ พนักงานและเจ้าหน้าที่อื่นในกระทรวงที่รับผิดชอบ,1110
เป็นผู้แทนดูแลผลประโยชน์และส่วนได้เสียของผู้เลือกตั้งในสภาท้องถิ่น ให้คำแนะนำและยินยอมในการออกกฎ ระเบียบ ข้อบังคับ เพื่อใช้ประกอบการบริหารงานปกครองท้องถิ่น ควบคุมการบริหารราชการส่วนท้องถิ่น และทำหน้าที่อื่นๆ ตามบทบัญญัติแห่งกฎหมายว่าด้วยการปกครองท้องถิ่น อาจใช้ชื่อว่าสมาชิกสภาเทศบาล สมาชิกองค์การบริหารส่วนตำบล สมาชิกสภาองค์การบริหารส่วนจังหวัด สมาชิกสภากรุงเทพมหานคร สมาชิกสภาเมืองพัทยา สมาชิกสภาเขต,1110
บริหารราชการส่วนท้องถิ่นให้เป็นไปตามบทบัญญัติแห่งรัฐธรรมนูญ กฎหมาย และนโยบายที่แถลงต่อสภาท้องถิ่น ปกครอง บังคับบัญชาพนักงานและลูกจ้างในองค์กรท้องถิ่น ดูแลและ คุ้มครองผลประโยชน์และส่วนได้เสียของท้องถิ่นและทำหน้าที่อื่นๆ ตามบทบัญญัติแห่งกฎหมายว่าด้วยการปกครอง ท้องถิ่น อาจใช้ชื่อว่า นายกเทศมนตรี นายกองค์การบริหารส่วนจังหวัด ประธานกรรมการองค์การบริหารส่วนตำบล ผู้ว่าราชการกรุงเทพมหานคร นายกเมืองพัทยา,1110
